phase,user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
phase8_decay,2_F,Decay_7d,0.9655,0.7206,0.9265,0.8107,1698.99,61.49
phase8_decay,2_F,Decay_14d,0.9702,0.7183,0.9258,0.8089,1705.8,61.74
phase8_decay,2_F,Decay_30d,0.9683,0.7124,0.9238,0.8045,1703.08,61.64
phase8_decay,2_F,Decay_60d,0.9683,0.7124,0.9238,0.8045,1703.08,61.64
phase8_decay,35_F,Decay_7d,0.9871,0.7078,0.9213,0.8006,2362.27,85.5
phase8_decay,35_F,Decay_14d,0.9857,0.7067,0.9209,0.7997,2360.29,85.42
phase8_decay,35_F,Decay_30d,0.9857,0.6928,0.9162,0.789,2360.29,85.42
phase8_decay,35_F,Decay_60d,0.9864,0.7027,0.9196,0.7967,2361.28,85.46
phase8_decay,19_F,Decay_7d,0.9442,0.7128,0.9229,0.8043,1780.39,64.44
phase8_decay,19_F,Decay_14d,0.9435,0.7169,0.9242,0.8075,1779.21,64.39
phase8_decay,19_F,Decay_30d,0.9428,0.7182,0.9247,0.8084,1778.26,64.36
phase8_decay,19_F,Decay_60d,0.9421,0.7197,0.9252,0.8096,1777.26,64.32
phase8_decay,34_F,Decay_7d,0.9726,0.6637,0.9061,0.7662,2252.09,81.51
phase8_decay,34_F,Decay_14d,0.9726,0.6731,0.9096,0.7737,2252.09,81.51
phase8_decay,34_F,Decay_30d,0.9829,0.6791,0.9118,0.7784,2268.7,82.11
phase8_decay,34_F,Decay_60d,0.9829,0.6839,0.9135,0.7822,2268.7,82.11
phase8_decay,28_F,Decay_7d,0.8666,0.3974,0.7651,0.5231,1823.34,65.99
phase8_decay,28_F,Decay_14d,0.8674,0.3958,0.7639,0.5215,1824.31,66.03
phase8_decay,28_F,Decay_30d,0.8645,0.3927,0.7615,0.5181,1819.95,65.87
phase8_decay,28_F,Decay_60d,0.8623,0.3923,0.7613,0.5178,1816.83,65.76
phase8_decay,33_F,Decay_7d,0.9105,0.6483,0.9011,0.754,2021.87,73.18
phase8_decay,33_F,Decay_14d,0.9147,0.6546,0.9035,0.7592,2027.95,73.4
phase8_decay,33_F,Decay_30d,0.9124,0.6481,0.901,0.7539,2024.83,73.28
phase8_decay,33_F,Decay_60d,0.9124,0.6481,0.901,0.7539,2024.83,73.28
phase8_decay,18_F,Decay_7d,0.9518,0.7584,0.9389,0.8391,1445.28,52.31
phase8_decay,18_F,Decay_14d,0.9504,0.758,0.9388,0.8388,1442.87,52.22
phase8_decay,18_F,Decay_30d,0.9509,0.7536,0.9375,0.8356,1443.61,52.25
phase8_decay,18_F,Decay_60d,0.9491,0.7505,0.9365,0.8332,1440.79,52.15
phase8_decay,11_F,Decay_7d,0.9349,0.5465,0.8545,0.6666,1847.01,66.85
phase8_decay,11_F,Decay_14d,0.9379,0.5481,0.8553,0.6681,1851.33,67.0
phase8_decay,11_F,Decay_30d,0.9375,0.5485,0.8554,0.6684,1850.49,66.97
phase8_decay,11_F,Decay_60d,0.9387,0.5474,0.855,0.6675,1852.06,67.03
phase8_decay,14_F,Decay_7d,0.9777,0.7362,0.9148,0.8158,2346.94,84.94
phase8_decay,14_F,Decay_14d,0.9777,0.7417,0.9165,0.8199,2346.94,84.94
phase8_decay,14_F,Decay_30d,0.9811,0.7827,0.9288,0.8495,2351.96,85.12
phase8_decay,14_F,Decay_60d,0.9828,0.7829,0.9289,0.8497,2354.47,85.21
phase8_decay,20_M,Decay_7d,0.8926,0.33,0.7067,0.4499,2028.23,73.41
phase8_decay,20_M,Decay_14d,0.9014,0.3315,0.7081,0.4515,2041.1,73.87
phase8_decay,20_M,Decay_30d,0.9014,0.3315,0.7081,0.4515,2041.1,73.87
phase8_decay,20_M,Decay_60d,0.8996,0.3332,0.7096,0.4535,2038.52,73.78
phase8_decay,12_M,Decay_7d,0.8482,0.4181,0.7821,0.5449,1422.19,51.47
phase8_decay,12_M,Decay_14d,0.8411,0.4209,0.784,0.5478,1413.32,51.15
phase8_decay,12_M,Decay_30d,0.8414,0.4212,0.7842,0.5481,1413.8,51.17
phase8_decay,12_M,Decay_60d,0.8411,0.4199,0.7833,0.5467,1413.47,51.16
phase8_decay,16_F,Decay_7d,0.9407,0.647,0.8778,0.7449,2149.31,77.79
phase8_decay,16_F,Decay_14d,0.9415,0.6525,0.8798,0.7493,2150.45,77.83
phase8_decay,16_F,Decay_30d,0.9438,0.6659,0.8848,0.7599,2153.87,77.95
phase8_decay,16_F,Decay_60d,0.9438,0.6604,0.8828,0.7555,2153.87,77.95
phase8_decay,21_F,Decay_7d,0.8986,0.3733,0.7428,0.4969,1890.94,68.44
phase8_decay,21_F,Decay_14d,0.9041,0.3583,0.7305,0.4808,1899.5,68.75
phase8_decay,21_F,Decay_30d,0.9068,0.364,0.7353,0.4869,1903.5,68.89
phase8_decay,21_F,Decay_60d,0.9288,0.3729,0.7425,0.4964,1935.0,70.03
phase8_decay,7_F,Decay_7d,0.9633,0.7576,0.9382,0.8383,1861.03,67.36
phase8_decay,7_F,Decay_14d,0.9679,0.7604,0.9391,0.8404,1867.79,67.6
phase8_decay,7_F,Decay_30d,0.9659,0.7641,0.9402,0.843,1864.98,67.5
phase8_decay,7_F,Decay_60d,0.9673,0.7647,0.9404,0.8435,1867.01,67.57
phase8_decay,6_M,Decay_7d,0.9359,0.5037,0.7975,0.6174,2084.0,75.43
phase8_decay,6_M,Decay_14d,0.943,0.4884,0.7894,0.6035,2094.42,75.8
phase8_decay,6_M,Decay_30d,0.9416,0.5046,0.7981,0.6183,2090.93,75.68
phase8_decay,6_M,Decay_60d,0.9444,0.5023,0.7969,0.6162,2095.09,75.83
phase8_decay,8_M,Decay_7d,0.9857,0.8169,0.9561,0.8811,2371.12,85.82
phase8_decay,8_M,Decay_14d,0.9836,0.8244,0.9581,0.8862,2368.12,85.71
phase8_decay,8_M,Decay_30d,0.9785,0.8356,0.9611,0.894,2360.63,85.44
phase8_decay,8_M,Decay_60d,0.9785,0.8356,0.9611,0.894,2360.63,85.44
phase8_decay,27_F,Decay_7d,0.6834,0.3322,0.6875,0.4479,1265.75,45.81
phase8_decay,27_F,Decay_14d,0.6926,0.3373,0.6921,0.4535,1279.35,46.3
phase8_decay,27_F,Decay_30d,0.677,0.3286,0.6842,0.444,1256.46,45.47
phase8_decay,27_F,Decay_60d,0.6876,0.3169,0.6736,0.431,1271.95,46.04
phase8_decay,24_F,Decay_7d,0.9855,0.792,0.9482,0.8631,2039.97,73.83
phase8_decay,24_F,Decay_14d,0.9826,0.7888,0.9472,0.8608,2035.79,73.68
phase8_decay,24_F,Decay_30d,0.9812,0.787,0.9467,0.8595,2033.75,73.61
phase8_decay,24_F,Decay_60d,0.9817,0.8095,0.9531,0.8755,2034.45,73.63
phase8_decay,13_F,Decay_7d,0.9524,0.5088,0.8301,0.6309,2063.03,74.67
phase8_decay,13_F,Decay_14d,0.9533,0.5151,0.8335,0.6367,2064.37,74.71
phase8_decay,13_F,Decay_30d,0.9533,0.5003,0.8255,0.623,2064.37,74.71
phase8_decay,13_F,Decay_60d,0.9533,0.4994,0.825,0.6222,2064.55,74.72
phase8_decay,17_F,Decay_7d,0.9581,0.6476,0.8877,0.7489,2297.94,83.17
phase8_decay,17_F,Decay_14d,0.9566,0.6552,0.8906,0.755,2295.83,83.09
phase8_decay,17_F,Decay_30d,0.9653,0.6643,0.894,0.7622,2308.84,83.56
phase8_decay,17_F,Decay_60d,0.9653,0.6643,0.894,0.7622,2308.84,83.56
phase8_decay,29_F,Decay_7d,0.9804,0.8251,0.9506,0.8834,1784.02,64.57
phase8_decay,29_F,Decay_14d,0.9804,0.8251,0.9506,0.8834,1783.82,64.56
phase8_decay,29_F,Decay_30d,0.9795,0.8214,0.9496,0.8808,1782.59,64.52
phase8_decay,29_F,Decay_60d,0.9795,0.8214,0.9496,0.8808,1782.59,64.52
phase8_decay,22_M,Decay_7d,0.9719,0.7807,0.9449,0.855,1780.05,64.42
phase8_decay,22_M,Decay_14d,0.974,0.7837,0.9458,0.8571,1783.02,64.53
phase8_decay,22_M,Decay_30d,0.9752,0.7852,0.9463,0.8582,1784.8,64.6
phase8_decay,22_M,Decay_60d,0.976,0.7996,0.9504,0.8685,1785.99,64.64
phase8_decay,26_F,Decay_7d,0.9824,0.7981,0.9478,0.8665,2325.99,84.18
phase8_decay,26_F,Decay_14d,0.9808,0.7994,0.9482,0.8675,2323.64,84.1
phase8_decay,26_F,Decay_30d,0.984,0.7982,0.9479,0.8666,2328.33,84.27
phase8_decay,26_F,Decay_60d,0.984,0.7968,0.9475,0.8656,2328.33,84.27
phase8_decay,23_F,Decay_7d,0.9147,0.5782,0.843,0.6859,1939.75,70.2
phase8_decay,23_F,Decay_14d,0.9089,0.5986,0.8516,0.703,1932.4,69.94
phase8_decay,23_F,Decay_30d,0.9186,0.6024,0.8534,0.7063,1946.19,70.44
phase8_decay,23_F,Decay_60d,0.9186,0.6024,0.8534,0.7063,1946.19,70.44
phase8_decay,15_F,Decay_7d,0.9517,0.7454,0.9327,0.8286,2269.41,82.14
phase8_decay,15_F,Decay_14d,0.9592,0.7647,0.9387,0.8428,2280.27,82.53
phase8_decay,15_F,Decay_30d,0.9579,0.7461,0.933,0.8291,2278.21,82.45
phase8_decay,15_F,Decay_60d,0.9579,0.7461,0.933,0.8291,2278.21,82.45
phase8_decay,1_M,Decay_7d,0.9648,0.6717,0.9046,0.7709,2236.7,80.95
phase8_decay,1_M,Decay_14d,0.9581,0.6647,0.902,0.7654,2227.03,80.6
phase8_decay,1_M,Decay_30d,0.9581,0.6411,0.893,0.7464,2227.03,80.6
phase8_decay,1_M,Decay_60d,0.9581,0.6411,0.893,0.7464,2227.03,80.6
phase8_decay,30_F,Decay_7d,0.9541,0.6223,0.8907,0.7327,2169.9,78.53
phase8_decay,30_F,Decay_14d,0.9518,0.6192,0.8894,0.7301,2166.54,78.41
phase8_decay,30_F,Decay_30d,0.9518,0.6192,0.8894,0.7301,2166.54,78.41
phase8_decay,30_F,Decay_60d,0.9518,0.6192,0.8894,0.7301,2166.54,78.41
phase8_decay,9_M,Decay_7d,0.925,0.3494,0.7124,0.4688,2019.9,73.11
phase8_decay,9_M,Decay_14d,0.925,0.3494,0.7124,0.4688,2019.9,73.11
phase8_decay,9_M,Decay_30d,0.925,0.3494,0.7124,0.4688,2019.9,73.11
phase8_decay,9_M,Decay_60d,0.925,0.3494,0.7124,0.4688,2019.9,73.11
phase8_decay,10_M,Decay_7d,0.9661,0.9167,0.9565,0.9362,2404.63,87.03
phase8_decay,10_M,Decay_14d,0.9661,0.9167,0.9565,0.9362,2404.63,87.03
phase8_decay,10_M,Decay_30d,0.9661,0.9167,0.9565,0.9362,2404.63,87.03
phase8_decay,10_M,Decay_60d,0.9661,0.9167,0.9565,0.9362,2404.63,87.03
